,name,ns_name,url_name,url,representatives_url,simple_shape_url,centroid_url,shape_url
1,Souris - Elmira,Souris-Elmira,souris-elmira,/boundaries/prince-edward-island-electoral-districts-2017/souris-elmira/,/boundaries/prince-edward-island-electoral-districts-2017/souris-elmira/representatives/,/boundaries/prince-edward-island-electoral-districts-2017/souris-elmira/simple_shape,/boundaries/prince-edward-island-electoral-districts-2017/souris-elmira/centroid,/boundaries/prince-edward-island-electoral-districts-2017/souris-elmira/shape
2,Georgetown - Pownal,Georgetown-Pownal,georgetown-pownal,/boundaries/prince-edward-island-electoral-districts-2017/georgetown-pownal/,/boundaries/prince-edward-island-electoral-districts-2017/georgetown-pownal/representatives/,/boundaries/prince-edward-island-electoral-districts-2017/georgetown-pownal/simple_shape,/boundaries/prince-edward-island-electoral-districts-2017/georgetown-pownal/centroid,/boundaries/prince-edward-island-electoral-districts-2017/georgetown-pownal/shape
3,Montague - Kilmuir,Montague-Kilmuir,montague-kilmuir,/boundaries/prince-edward-island-electoral-districts-2017/montague-kilmuir/,/boundaries/prince-edward-island-electoral-districts-2017/montague-kilmuir/representatives/,/boundaries/prince-edward-island-electoral-districts-2017/montague-kilmuir/simple_shape,/boundaries/prince-edward-island-electoral-districts-2017/montague-kilmuir/centroid,/boundaries/prince-edward-island-electoral-districts-2017/montague-kilmuir/shape
4,Belfast - Murray River,Belfast-Murray River,belfast-murray-river,/boundaries/prince-edward-island-electoral-districts-2017/belfast-murray-river/,/boundaries/prince-edward-island-electoral-districts-2017/belfast-murray-river/representatives/,/boundaries/prince-edward-island-electoral-districts-2017/belfast-murray-river/simple_shape,/boundaries/prince-edward-island-electoral-districts-2017/belfast-murray-river/centroid,/boundaries/prince-edward-island-electoral-districts-2017/belfast-murray-river/shape
5,Mermaid - Stratford,Mermaid-Stratford,mermaid-stratford,/boundaries/prince-edward-island-electoral-districts-2017/mermaid-stratford/,/boundaries/prince-edward-island-electoral-districts-2017/mermaid-stratford/representatives/,/boundaries/prince-edward-island-electoral-districts-2017/mermaid-stratford/simple_shape,/boundaries/prince-edward-island-electoral-districts-2017/mermaid-stratford/centroid,/boundaries/prince-edward-island-electoral-districts-2017/mermaid-stratford/shape
6,Stratford - Keppoch,Stratford-Keppoch,stratford-keppoch,/boundaries/prince-edward-island-electoral-districts-2017/stratford-keppoch/,/boundaries/prince-edward-island-electoral-districts-2017/stratford-keppoch/representatives/,/boundaries/prince-edward-island-electoral-districts-2017/stratford-keppoch/simple_shape,/boundaries/prince-edward-island-electoral-districts-2017/stratford-keppoch/centroid,/boundaries/prince-edward-island-electoral-districts-2017/stratford-keppoch/shape
7,Morell - Donagh,Morell-Donagh,morell-donagh,/boundaries/prince-edward-island-electoral-districts-2017/morell-donagh/,/boundaries/prince-edward-island-electoral-districts-2017/morell-donagh/representatives/,/boundaries/prince-edward-island-electoral-districts-2017/morell-donagh/simple_shape,/boundaries/prince-edward-island-electoral-districts-2017/morell-donagh/centroid,/boundaries/prince-edward-island-electoral-districts-2017/morell-donagh/shape
8,Stanhope - Marshfield,Stanhope-Marshfield,stanhope-marshfield,/boundaries/prince-edward-island-electoral-districts-2017/stanhope-marshfield/,/boundaries/prince-edward-island-electoral-districts-2017/stanhope-marshfield/representatives/,/boundaries/prince-edward-island-electoral-districts-2017/stanhope-marshfield/simple_shape,/boundaries/prince-edward-island-electoral-districts-2017/stanhope-marshfield/centroid,/boundaries/prince-edward-island-electoral-districts-2017/stanhope-marshfield/shape
9,Charlottetown - Hillsborough Park,Charlottetown-Hillsborough Park,charlottetown-hillsborough-park,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-hillsborough-park/,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-hillsborough-park/representatives/,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-hillsborough-park/simple_shape,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-hillsborough-park/centroid,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-hillsborough-park/shape
10,Charlottetown - Winsloe,Charlottetown-Winsloe,charlottetown-winsloe,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-winsloe/,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-winsloe/representatives/,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-winsloe/simple_shape,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-winsloe/centroid,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-winsloe/shape
11,Charlottetown - Belvedere,Charlottetown-Belvedere,charlottetown-belvedere,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-belvedere/,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-belvedere/representatives/,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-belvedere/simple_shape,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-belvedere/centroid,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-belvedere/shape
12,Charlottetown - Victoria Park,Charlottetown-Victoria Park,charlottetown-victoria-park,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-victoria-park/,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-victoria-park/representatives/,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-victoria-park/simple_shape,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-victoria-park/centroid,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-victoria-park/shape
13,Charlottetown - Brighton,Charlottetown-Brighton,charlottetown-brighton,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-brighton/,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-brighton/representatives/,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-brighton/simple_shape,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-brighton/centroid,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-brighton/shape
14,Charlottetown - West Royalty,Charlottetown-West Royalty,charlottetown-west-royalty,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-west-royalty/,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-west-royalty/representatives/,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-west-royalty/simple_shape,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-west-royalty/centroid,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-west-royalty/shape
15,Brackley - Hunter River,Brackley-Hunter River,brackley-hunter-river,/boundaries/prince-edward-island-electoral-districts-2017/brackley-hunter-river/,/boundaries/prince-edward-island-electoral-districts-2017/brackley-hunter-river/representatives/,/boundaries/prince-edward-island-electoral-districts-2017/brackley-hunter-river/simple_shape,/boundaries/prince-edward-island-electoral-districts-2017/brackley-hunter-river/centroid,/boundaries/prince-edward-island-electoral-districts-2017/brackley-hunter-river/shape
16,Cornwall - Meadowbank,Cornwall-Meadowbank,cornwall-meadowbank,/boundaries/prince-edward-island-electoral-districts-2017/cornwall-meadowbank/,/boundaries/prince-edward-island-electoral-districts-2017/cornwall-meadowbank/representatives/,/boundaries/prince-edward-island-electoral-districts-2017/cornwall-meadowbank/simple_shape,/boundaries/prince-edward-island-electoral-districts-2017/cornwall-meadowbank/centroid,/boundaries/prince-edward-island-electoral-districts-2017/cornwall-meadowbank/shape
17,New Haven - Rocky Point,New Haven-Rocky Point,new-haven-rocky-point,/boundaries/prince-edward-island-electoral-districts-2017/new-haven-rocky-point/,/boundaries/prince-edward-island-electoral-districts-2017/new-haven-rocky-point/representatives/,/boundaries/prince-edward-island-electoral-districts-2017/new-haven-rocky-point/simple_shape,/boundaries/prince-edward-island-electoral-districts-2017/new-haven-rocky-point/centroid,/boundaries/prince-edward-island-electoral-districts-2017/new-haven-rocky-point/shape
18,Rustico - Emerald,Rustico-Emerald,rustico-emerald,/boundaries/prince-edward-island-electoral-districts-2017/rustico-emerald/,/boundaries/prince-edward-island-electoral-districts-2017/rustico-emerald/representatives/,/boundaries/prince-edward-island-electoral-districts-2017/rustico-emerald/simple_shape,/boundaries/prince-edward-island-electoral-districts-2017/rustico-emerald/centroid,/boundaries/prince-edward-island-electoral-districts-2017/rustico-emerald/shape
19,Borden - Kinkora,Borden-Kinkora,borden-kinkora,/boundaries/prince-edward-island-electoral-districts-2017/borden-kinkora/,/boundaries/prince-edward-island-electoral-districts-2017/borden-kinkora/representatives/,/boundaries/prince-edward-island-electoral-districts-2017/borden-kinkora/simple_shape,/boundaries/prince-edward-island-electoral-districts-2017/borden-kinkora/centroid,/boundaries/prince-edward-island-electoral-districts-2017/borden-kinkora/shape
20,Kensington - Malpeque,Kensington-Malpeque,kensington-malpeque,/boundaries/prince-edward-island-electoral-districts-2017/kensington-malpeque/,/boundaries/prince-edward-island-electoral-districts-2017/kensington-malpeque/representatives/,/boundaries/prince-edward-island-electoral-districts-2017/kensington-malpeque/simple_shape,/boundaries/prince-edward-island-electoral-districts-2017/kensington-malpeque/centroid,/boundaries/prince-edward-island-electoral-districts-2017/kensington-malpeque/shape
21,Summerside - Wilmot,Summerside-Wilmot,summerside-wilmot,/boundaries/prince-edward-island-electoral-districts-2017/summerside-wilmot/,/boundaries/prince-edward-island-electoral-districts-2017/summerside-wilmot/representatives/,/boundaries/prince-edward-island-electoral-districts-2017/summerside-wilmot/simple_shape,/boundaries/prince-edward-island-electoral-districts-2017/summerside-wilmot/centroid,/boundaries/prince-edward-island-electoral-districts-2017/summerside-wilmot/shape
22,Summerside - South Drive,Summerside-South Drive,summerside-south-drive,/boundaries/prince-edward-island-electoral-districts-2017/summerside-south-drive/,/boundaries/prince-edward-island-electoral-districts-2017/summerside-south-drive/representatives/,/boundaries/prince-edward-island-electoral-districts-2017/summerside-south-drive/simple_shape,/boundaries/prince-edward-island-electoral-districts-2017/summerside-south-drive/centroid,/boundaries/prince-edward-island-electoral-districts-2017/summerside-south-drive/shape
23,Tyne Valley - Sherbrooke,Tyne Valley-Sherbrooke,tyne-valley-sherbrooke,/boundaries/prince-edward-island-electoral-districts-2017/tyne-valley-sherbrooke/,/boundaries/prince-edward-island-electoral-districts-2017/tyne-valley-sherbrooke/representatives/,/boundaries/prince-edward-island-electoral-districts-2017/tyne-valley-sherbrooke/simple_shape,/boundaries/prince-edward-island-electoral-districts-2017/tyne-valley-sherbrooke/centroid,/boundaries/prince-edward-island-electoral-districts-2017/tyne-valley-sherbrooke/shape
24,Evangeline - Miscouche,Evangeline-Miscouche,evangeline-miscouche,/boundaries/prince-edward-island-electoral-districts-2017/evangeline-miscouche/,/boundaries/prince-edward-island-electoral-districts-2017/evangeline-miscouche/representatives/,/boundaries/prince-edward-island-electoral-districts-2017/evangeline-miscouche/simple_shape,/boundaries/prince-edward-island-electoral-districts-2017/evangeline-miscouche/centroid,/boundaries/prince-edward-island-electoral-districts-2017/evangeline-miscouche/shape
25,O'Leary - Inverness,O'Leary-Inverness,oleary-inverness,/boundaries/prince-edward-island-electoral-districts-2017/oleary-inverness/,/boundaries/prince-edward-island-electoral-districts-2017/oleary-inverness/representatives/,/boundaries/prince-edward-island-electoral-districts-2017/oleary-inverness/simple_shape,/boundaries/prince-edward-island-electoral-districts-2017/oleary-inverness/centroid,/boundaries/prince-edward-island-electoral-districts-2017/oleary-inverness/shape
26,Alberton - Bloomfield,Alberton-Bloomfield,alberton-bloomfield,/boundaries/prince-edward-island-electoral-districts-2017/alberton-bloomfield/,/boundaries/prince-edward-island-electoral-districts-2017/alberton-bloomfield/representatives/,/boundaries/prince-edward-island-electoral-districts-2017/alberton-bloomfield/simple_shape,/boundaries/prince-edward-island-electoral-districts-2017/alberton-bloomfield/centroid,/boundaries/prince-edward-island-electoral-districts-2017/alberton-bloomfield/shape
27,Tignish - Palmer Road,Tignish-Palmer Road,tignish-palmer-road,/boundaries/prince-edward-island-electoral-districts-2017/tignish-palmer-road/,/boundaries/prince-edward-island-electoral-districts-2017/tignish-palmer-road/representatives/,/boundaries/prince-edward-island-electoral-districts-2017/tignish-palmer-road/simple_shape,/boundaries/prince-edward-island-electoral-districts-2017/tignish-palmer-road/centroid,/boundaries/prince-edward-island-electoral-districts-2017/tignish-palmer-road/shape
